instancia,q-medio,q-desvio,tempo,alfa,mutacao,filhos
Western Sahara,92469,7045.9,52.2008613629996,80,10,90
Western Sahara,93376,4743.44,52.201271975000054,85,10,90
Western Sahara,91866,8044.68,52.20090144400001,90,10,90
Western Sahara,92908,5807.12,52.201018273000045,5,10,95
Western Sahara,90866,6114.49,52.20084408399998,10,10,95
Western Sahara,95247,3759.71,52.20111387399993,15,10,95
Western Sahara,93682,8712.65,52.20088967399988,20,10,95
Western Sahara,93138,4758.4,52.20113101300012,80,10,95
Western Sahara,92552,3230.06,52.20111936400008,85,10,95
Western Sahara,93993,9053.25,52.2011187549997,90,10,95
Western Sahara,94068,7468.14,52.20109290399978,5,10,100
Western Sahara,90863,7608.73,52.20087099200009,10,10,100
Western Sahara,93100,4101.2,52.20113427400065,15,10,100
Western Sahara,95325,5734.09,52.20106143199973,20,10,100
Western Sahara,92317,5932.8,52.200690312000006,80,10,100
Western Sahara,91489,7661.85,52.20112361500014,85,10,100
Western Sahara,94669,6483.09,52.20091820400012,90,10,100
Western Sahara,41312,2433.56,52.200893073999396,5,15,5
Western Sahara,41381,1753.13,52.20089204300075,10,15,5
Western Sahara,40871,1631.99,52.20099805399968,15,15,5
Western Sahara,41129,2339.31,52.20108852300018,20,15,5
Western Sahara,41104,1114.79,52.20091635300014,80,15,5
Western Sahara,39841,2767.67,52.200815875000444,85,15,5
Western Sahara,40440,2566.91,52.200795902999744,90,15,5
Western Sahara,40955,1997.46,52.20083417499973,5,15,10
Western Sahara,39776,1425.61,52.20085709399973,10,15,10
Western Sahara,41381,1515.94,52.20090898499984,15,15,10
Western Sahara,40326,1696.72,52.200995573,20,15,10
Western Sahara,40427,1408.85,52.20082528399962,80,15,10
Western Sahara,40709,1264.46,52.201168285000676,85,15,10
Western Sahara,40557,1500.48,52.20085010300045,90,15,10
Western Sahara,40420,1379.4,52.20090932400035,5,15,15
Western Sahara,40711,1941.23,52.200803884999914,10,15,15
Western Sahara,41504,1733.89,52.200677513999835,15,15,15
Western Sahara,41426,1617.88,52.20113437500004,20,15,15
